city,year,date,time,wind_factor,no2,pm10,pm25
Leeds,2017,01-11-2017,00:00,0.820791898,8.310789068,NA,NA
Leeds,2017,01-11-2017,00:00,0.80829414,NA,13.86864207,NA
Leeds,2017,01-11-2017,00:00,0.86666929,NA,NA,1.149880601
Leeds,2017,01-11-2017,01:00,0.729990539,0,NA,NA
Leeds,2017,01-11-2017,01:00,0.862516999,NA,19.61315327,NA
Leeds,2017,01-11-2017,01:00,0.898547248,NA,NA,7.806595243
Leeds,2017,01-11-2017,02:00,0.98128888,2.261766482,NA,NA
Leeds,2017,01-11-2017,02:00,0.886017768,NA,24.3683091,NA
Leeds,2017,01-11-2017,02:00,0.879335998,NA,NA,12.67430542
Leeds,2017,01-11-2017,03:00,0.926950055,6.499663041,NA,NA
Leeds,2017,01-11-2017,03:00,0.846927454,NA,19.23910319,NA
Leeds,2017,01-11-2017,03:00,0.942688461,NA,NA,11.29289089
Leeds,2017,01-11-2017,04:00,0.878116153,8.084355752,NA,NA
Leeds,2017,01-11-2017,04:00,0.790988264,NA,19.8049858,NA
Leeds,2017,01-11-2017,04:00,0.797517746,NA,NA,14.08680688
Leeds,2017,01-11-2017,05:00,0.903871862,11.71351439,NA,NA
Leeds,2017,01-11-2017,05:00,0.867677281,NA,8.01530859,NA
Leeds,2017,01-11-2017,05:00,0.859165082,NA,NA,1.847222775
Leeds,2017,01-11-2017,06:00,0.861103513,13.13721102,NA,NA
Leeds,2017,01-11-2017,06:00,0.810022082,NA,32.4347903,NA
Leeds,2017,01-11-2017,06:00,0.842093475,NA,NA,22.45959501
Leeds,2017,01-11-2017,07:00,0.849322922,19.34069027,NA,NA
Leeds,2017,01-11-2017,07:00,0.879924425,NA,25.40223111,NA
Leeds,2017,01-11-2017,07:00,0.880956345,NA,NA,23.62879193
Leeds,2017,01-11-2017,08:00,0.822086139,9.882349817,NA,NA
Leeds,2017,01-11-2017,08:00,0.872788355,NA,12.50484324,NA
Leeds,2017,01-11-2017,08:00,0.833753514,NA,NA,12.37226112
Leeds,2017,01-11-2017,09:00,0.912924221,10.44143296,NA,NA
Leeds,2017,01-11-2017,09:00,0.824470783,NA,16.18871797,NA
Leeds,2017,01-11-2017,09:00,0.845483032,NA,NA,12.16455979
Leeds,2017,01-11-2017,10:00,0.842551133,6.595627907,NA,NA
Leeds,2017,01-11-2017,10:00,0.874286667,NA,38.31021834,NA
Leeds,2017,01-11-2017,10:00,0.991432742,NA,NA,15.18342872
Leeds,2017,01-11-2017,11:00,0.881233841,20.36646357,NA,NA
Leeds,2017,01-11-2017,11:00,0.845914816,NA,13.7261159,NA
Leeds,2017,01-11-2017,11:00,0.929093469,NA,NA,18.42103335
Leeds,2017,01-11-2017,12:00,0.932777887,0,NA,NA
Leeds,2017,01-11-2017,12:00,0.896391011,NA,11.7687205,NA
Leeds,2017,01-11-2017,12:00,0.952316535,NA,NA,6.404680484
Leeds,2017,01-11-2017,13:00,0.866990855,22.32195801,NA,NA
Leeds,2017,01-11-2017,13:00,0.976132304,NA,32.34609547,NA
Leeds,2017,01-11-2017,13:00,0.858417534,NA,NA,21.72224508
Leeds,2017,01-11-2017,14:00,0.986856243,16.69751164,NA,NA
Leeds,2017,01-11-2017,14:00,0.853108059,NA,24.58568654,NA
Leeds,2017,01-11-2017,14:00,0.858857101,NA,NA,13.26642183
Leeds,2017,01-11-2017,15:00,0.884802262,0,NA,NA
Leeds,2017,01-11-2017,15:00,0.791788153,NA,3.663002517,NA
Leeds,2017,01-11-2017,15:00,0.937338139,NA,NA,7.95130397
Leeds,2017,01-11-2017,16:00,0.883175256,18.71307064,NA,NA
Leeds,2017,01-11-2017,16:00,0.838572635,NA,9.925839642,NA
Leeds,2017,01-11-2017,16:00,0.830706939,NA,NA,15.4281778
Leeds,2017,01-11-2017,17:00,0.839348534,7.447299605,NA,NA
Leeds,2017,01-11-2017,17:00,0.849056134,NA,12.85654906,NA
Leeds,2017,01-11-2017,17:00,0.932914603,NA,NA,12.98678601
Leeds,2017,01-11-2017,18:00,0.855340089,19.91598,NA,NA
Leeds,2017,01-11-2017,18:00,0.868625053,NA,35.77363255,NA
Leeds,2017,01-11-2017,18:00,0.825307943,NA,NA,31.68577331
Leeds,2017,01-11-2017,19:00,0.86659775,14.08954243,NA,NA
Leeds,2017,01-11-2017,19:00,0.915528649,NA,42.88497779,NA
Leeds,2017,01-11-2017,19:00,0.856147611,NA,NA,32.05697329
Leeds,2017,01-11-2017,20:00,0.791571614,13.01781007,NA,NA
Leeds,2017,01-11-2017,20:00,0.90767626,NA,46.84954082,NA
Leeds,2017,01-11-2017,20:00,0.890623894,NA,NA,25.5247937
Leeds,2017,01-11-2017,21:00,0.843472616,21.0760555,NA,NA
Leeds,2017,01-11-2017,21:00,0.970755884,NA,37.34048049,NA
Leeds,2017,01-11-2017,21:00,0.92760521,NA,NA,15.33440601
Leeds,2017,01-11-2017,22:00,0.897624036,3.78055933,NA,NA
Leeds,2017,01-11-2017,22:00,0.898733745,NA,14.13545917,NA
Leeds,2017,01-11-2017,22:00,0.868025468,NA,NA,2.665933058
Leeds,2017,01-11-2017,23:00,0.806752434,8.800196121,NA,NA
Leeds,2017,01-11-2017,23:00,0.913070028,NA,7.718505913,NA
Leeds,2017,01-11-2017,23:00,0.844925763,NA,NA,1.924313521
Leeds,2017,02-11-2017,00:00,0.776100881,0.422472055,NA,NA
Leeds,2017,02-11-2017,00:00,0.847465558,NA,4.832105239,NA
Leeds,2017,02-11-2017,00:00,0.828544665,NA,NA,0
Leeds,2017,02-11-2017,01:00,0.821462657,8.684593977,NA,NA
Leeds,2017,02-11-2017,01:00,0.785783053,NA,36.35412097,NA
Leeds,2017,02-11-2017,01:00,0.863421225,NA,NA,7.956494622
Leeds,2017,02-11-2017,02:00,0.832747314,4.312222122,NA,NA
Leeds,2017,02-11-2017,02:00,0.849293342,NA,13.75727781,NA
Leeds,2017,02-11-2017,02:00,0.793833,NA,NA,6.812320577
Leeds,2017,02-11-2017,03:00,0.843206333,10.49622643,NA,NA
Leeds,2017,02-11-2017,03:00,0.856218226,NA,38.25131578,NA
Leeds,2017,02-11-2017,03:00,0.814906738,NA,NA,21.98446997
Leeds,2017,02-11-2017,04:00,0.940951008,8.144822154,NA,NA
Leeds,2017,02-11-2017,04:00,0.802974111,NA,18.09630246,NA
Leeds,2017,02-11-2017,04:00,0.811579365,NA,NA,14.69859876
Leeds,2017,02-11-2017,05:00,0.867989144,18.16696057,NA,NA
Leeds,2017,02-11-2017,05:00,0.825088312,NA,43.92403927,NA
Leeds,2017,02-11-2017,05:00,0.756540174,NA,NA,26.03728502
Leeds,2017,02-11-2017,06:00,0.876657176,15.88121846,NA,NA
Leeds,2017,02-11-2017,06:00,0.781803309,NA,14.35297345,NA
Leeds,2017,02-11-2017,06:00,0.759579928,NA,NA,15.11578226
Leeds,2017,02-11-2017,07:00,0.787837053,1.346814313,NA,NA
Leeds,2017,02-11-2017,07:00,0.730556364,NA,27.26837865,NA
Leeds,2017,02-11-2017,07:00,0.828861701,NA,NA,9.308586623
Leeds,2017,02-11-2017,08:00,0.804306475,10.85048166,NA,NA
Leeds,2017,02-11-2017,08:00,0.878425111,NA,21.36188118,NA
Leeds,2017,02-11-2017,08:00,0.718897767,NA,NA,14.37146771
Leeds,2017,02-11-2017,09:00,0.924803813,14.14328612,NA,NA
Leeds,2017,02-11-2017,09:00,0.794175866,NA,33.25837241,NA
Leeds,2017,02-11-2017,09:00,0.808989418,NA,NA,24.85966483
Leeds,2017,02-11-2017,10:00,0.827518299,3.406707112,NA,NA
Leeds,2017,02-11-2017,10:00,0.82891413,NA,18.63686672,NA
Leeds,2017,02-11-2017,10:00,0.814671067,NA,NA,13.01302339
Leeds,2017,02-11-2017,11:00,0.702566851,8.77554737,NA,NA
Leeds,2017,02-11-2017,11:00,0.784159696,NA,22.79303898,NA
Leeds,2017,02-11-2017,11:00,0.805756716,NA,NA,18.18416437
Leeds,2017,02-11-2017,12:00,0.800627068,20.94051162,NA,NA
Leeds,2017,02-11-2017,12:00,0.923243688,NA,25.24491366,NA
Leeds,2017,02-11-2017,12:00,0.868720016,NA,NA,15.14947318
Leeds,2017,02-11-2017,13:00,0.849956154,13.00912376,NA,NA
Leeds,2017,02-11-2017,13:00,0.727137249,NA,17.68449436,NA
Leeds,2017,02-11-2017,13:00,0.784724463,NA,NA,6.94101185
Leeds,2017,02-11-2017,14:00,0.861200345,11.22714318,NA,NA
Leeds,2017,02-11-2017,14:00,0.805259231,NA,12.93182525,NA
Leeds,2017,02-11-2017,14:00,0.899720701,NA,NA,22.86746755
Leeds,2017,02-11-2017,15:00,0.762446915,29.38509151,NA,NA
Leeds,2017,02-11-2017,15:00,0.829221366,NA,48.0457512,NA
Leeds,2017,02-11-2017,15:00,0.820861023,NA,NA,25.03864697
Leeds,2017,02-11-2017,16:00,0.785709277,19.36477573,NA,NA
Leeds,2017,02-11-2017,16:00,0.896157952,NA,31.48632035,NA
Leeds,2017,02-11-2017,16:00,0.693341404,NA,NA,39.58430234
Leeds,2017,02-11-2017,17:00,0.796960071,7.337191009,NA,NA
Leeds,2017,02-11-2017,17:00,0.869299352,NA,10.03306323,NA
Leeds,2017,02-11-2017,17:00,0.758341038,NA,NA,18.37428559
Leeds,2017,02-11-2017,18:00,0.794628653,4.70874146,NA,NA
Leeds,2017,02-11-2017,18:00,0.773760102,NA,17.18601879,NA
Leeds,2017,02-11-2017,18:00,0.854064492,NA,NA,12.11818046
Leeds,2017,02-11-2017,19:00,0.830952765,0,NA,NA
Leeds,2017,02-11-2017,19:00,0.844093671,NA,4.360663473,NA
Leeds,2017,02-11-2017,19:00,0.729568159,NA,NA,19.11048234
Leeds,2017,02-11-2017,20:00,0.802220904,7.806936637,NA,NA
Leeds,2017,02-11-2017,20:00,0.75614036,NA,22.93340027,NA
Leeds,2017,02-11-2017,20:00,0.779829019,NA,NA,14.02025876
Leeds,2017,02-11-2017,21:00,0.86127393,10.64911462,NA,NA
Leeds,2017,02-11-2017,21:00,0.796819046,NA,28.3265946,NA
Leeds,2017,02-11-2017,21:00,0.719587913,NA,NA,18.73214776
Leeds,2017,02-11-2017,22:00,0.818284436,4.977780222,NA,NA
Leeds,2017,02-11-2017,22:00,0.820999783,NA,11.43573134,NA
Leeds,2017,02-11-2017,22:00,0.815252347,NA,NA,5.318697728
Leeds,2017,02-11-2017,23:00,0.769367783,3.186939924,NA,NA
Leeds,2017,02-11-2017,23:00,0.874561314,NA,16.42193081,NA
Leeds,2017,02-11-2017,23:00,0.892330111,NA,NA,15.44181297
Leeds,2017,03-11-2017,00:00,0.732442165,2.357047856,NA,NA
Leeds,2017,03-11-2017,00:00,0.683200207,NA,41.80329466,NA
Leeds,2017,03-11-2017,00:00,0.638186248,NA,NA,32.84368681
Leeds,2017,03-11-2017,01:00,0.644580921,7.742930858,NA,NA
Leeds,2017,03-11-2017,01:00,0.751878389,NA,34.01666087,NA
Leeds,2017,03-11-2017,01:00,0.667478978,NA,NA,16.94214307
Leeds,2017,03-11-2017,02:00,0.764261957,0.195562853,NA,NA
Leeds,2017,03-11-2017,02:00,0.747894957,NA,0,NA
Leeds,2017,03-11-2017,02:00,0.724926558,NA,NA,0
Leeds,2017,03-11-2017,03:00,0.820254372,6.589826894,NA,NA
Leeds,2017,03-11-2017,03:00,0.79716332,NA,30.55326618,NA
Leeds,2017,03-11-2017,03:00,0.723163901,NA,NA,24.19081037
Leeds,2017,03-11-2017,04:00,0.725701999,8.555543156,NA,NA
Leeds,2017,03-11-2017,04:00,0.723184848,NA,10.9222464,NA
Leeds,2017,03-11-2017,04:00,0.697204407,NA,NA,11.59522532
Leeds,2017,03-11-2017,05:00,0.710019659,7.89145777,NA,NA
Leeds,2017,03-11-2017,05:00,0.903503827,NA,32.47343594,NA
Leeds,2017,03-11-2017,05:00,0.758915876,NA,NA,21.31113978
Leeds,2017,03-11-2017,06:00,0.758799536,15.8670381,NA,NA
Leeds,2017,03-11-2017,06:00,0.671304371,NA,31.54648333,NA
Leeds,2017,03-11-2017,06:00,0.716593916,NA,NA,24.68133849
Leeds,2017,03-11-2017,07:00,0.696637097,8.530435943,NA,NA
Leeds,2017,03-11-2017,07:00,0.635642579,NA,40.22247546,NA
Leeds,2017,03-11-2017,07:00,0.798666027,NA,NA,19.07464548
Leeds,2017,03-11-2017,08:00,0.704536817,15.74865211,NA,NA
Leeds,2017,03-11-2017,08:00,0.797680195,NA,34.39152134,NA
Leeds,2017,03-11-2017,08:00,0.782443136,NA,NA,21.1830669
Leeds,2017,03-11-2017,09:00,0.693364118,14.32794432,NA,NA
Leeds,2017,03-11-2017,09:00,0.725917457,NA,29.22811429,NA
Leeds,2017,03-11-2017,09:00,0.783611013,NA,NA,14.52277255
Leeds,2017,03-11-2017,10:00,0.753832524,21.13633104,NA,NA
Leeds,2017,03-11-2017,10:00,0.78483149,NA,33.94873455,NA
Leeds,2017,03-11-2017,10:00,0.652020475,NA,NA,14.52008746
Leeds,2017,03-11-2017,11:00,0.714630611,7.52241162,NA,NA
Leeds,2017,03-11-2017,11:00,0.69579444,NA,34.40302103,NA
Leeds,2017,03-11-2017,11:00,0.754359738,NA,NA,15.54267975
Leeds,2017,03-11-2017,12:00,0.650530768,5.568372659,NA,NA
Leeds,2017,03-11-2017,12:00,0.652103245,NA,6.65166851,NA
Leeds,2017,03-11-2017,12:00,0.747455581,NA,NA,7.848940454
Leeds,2017,03-11-2017,13:00,0.740528897,0,NA,NA
Leeds,2017,03-11-2017,13:00,0.673971075,NA,13.19723475,NA
Leeds,2017,03-11-2017,13:00,0.740048687,NA,NA,4.25721362
Leeds,2017,03-11-2017,14:00,0.734158017,0,NA,NA
Leeds,2017,03-11-2017,14:00,0.783045132,NA,6.565010597,NA
Leeds,2017,03-11-2017,14:00,0.681797504,NA,NA,0.391266754
Leeds,2017,03-11-2017,15:00,0.751503524,12.84460102,NA,NA
Leeds,2017,03-11-2017,15:00,0.729550242,NA,0,NA
Leeds,2017,03-11-2017,15:00,0.733444993,NA,NA,5.560550064
Leeds,2017,03-11-2017,16:00,0.778875113,1.37155035,NA,NA
Leeds,2017,03-11-2017,16:00,0.79970827,NA,0,NA
Leeds,2017,03-11-2017,16:00,0.75230494,NA,NA,0
Leeds,2017,03-11-2017,17:00,0.659906264,7.143558981,NA,NA
Leeds,2017,03-11-2017,17:00,0.730505292,NA,5.260516735,NA
Leeds,2017,03-11-2017,17:00,0.737998208,NA,NA,16.29828941
Leeds,2017,03-11-2017,18:00,0.709150116,0,NA,NA
Leeds,2017,03-11-2017,18:00,0.765406481,NA,0,NA
Leeds,2017,03-11-2017,18:00,0.708874878,NA,NA,4.889810026
Leeds,2017,03-11-2017,19:00,0.732536999,2.567437818,NA,NA
Leeds,2017,03-11-2017,19:00,0.74216694,NA,0,NA
Leeds,2017,03-11-2017,19:00,0.713686841,NA,NA,6.208496578
Leeds,2017,03-11-2017,20:00,0.745790518,26.73554186,NA,NA
Leeds,2017,03-11-2017,20:00,0.759117765,NA,40.02229794,NA
Leeds,2017,03-11-2017,20:00,0.737154861,NA,NA,27.96377168
Leeds,2017,03-11-2017,21:00,0.756918781,3.347188466,NA,NA
Leeds,2017,03-11-2017,21:00,0.758664546,NA,30.4797185,NA
Leeds,2017,03-11-2017,21:00,0.76943334,NA,NA,20.76283012
Leeds,2017,03-11-2017,22:00,0.75959952,7.953831844,NA,NA
Leeds,2017,03-11-2017,22:00,0.708721648,NA,26.6947505,NA
Leeds,2017,03-11-2017,22:00,0.685598461,NA,NA,12.92028262
Leeds,2017,03-11-2017,23:00,0.733099769,18.36774977,NA,NA
Leeds,2017,03-11-2017,23:00,0.713862132,NA,0.819244549,NA
Leeds,2017,03-11-2017,23:00,0.729568925,NA,NA,30.39344175
Leeds,2017,04-11-2017,00:00,0.57444287,0,NA,NA
Leeds,2017,04-11-2017,00:00,0.566179592,NA,38.83986128,NA
Leeds,2017,04-11-2017,00:00,0.651935971,NA,NA,13.15947238
Leeds,2017,04-11-2017,01:00,0.700769073,9.834848571,NA,NA
Leeds,2017,04-11-2017,01:00,0.683578808,NA,11.93434442,NA
Leeds,2017,04-11-2017,01:00,0.613728227,NA,NA,10.03893937
Leeds,2017,04-11-2017,02:00,0.674477565,20.67682919,NA,NA
Leeds,2017,04-11-2017,02:00,0.672790093,NA,40.9292758,NA
Leeds,2017,04-11-2017,02:00,0.607790386,NA,NA,29.41836017
Leeds,2017,04-11-2017,03:00,0.613193813,8.769530858,NA,NA
Leeds,2017,04-11-2017,03:00,0.581454563,NA,0,NA
Leeds,2017,04-11-2017,03:00,0.693472946,NA,NA,12.38283252
Leeds,2017,04-11-2017,04:00,0.558893091,8.196908893,NA,NA
Leeds,2017,04-11-2017,04:00,0.523246069,NA,11.67683238,NA
Leeds,2017,04-11-2017,04:00,0.557567736,NA,NA,4.33905976
Leeds,2017,04-11-2017,05:00,0.56987636,7.306086582,NA,NA
Leeds,2017,04-11-2017,05:00,0.67788326,NA,32.30135664,NA
Leeds,2017,04-11-2017,05:00,0.588640877,NA,NA,18.50922015
Leeds,2017,04-11-2017,06:00,0.641278769,22.39947487,NA,NA
Leeds,2017,04-11-2017,06:00,0.557905142,NA,31.15513562,NA
Leeds,2017,04-11-2017,06:00,0.611077965,NA,NA,19.68934942
Leeds,2017,04-11-2017,07:00,0.676688844,0,NA,NA
Leeds,2017,04-11-2017,07:00,0.65031446,NA,0,NA
Leeds,2017,04-11-2017,07:00,0.582942411,NA,NA,0
Leeds,2017,04-11-2017,08:00,0.560767009,11.49241442,NA,NA
Leeds,2017,04-11-2017,08:00,0.56181962,NA,11.93093484,NA
Leeds,2017,04-11-2017,08:00,0.608276024,NA,NA,15.58569513
Leeds,2017,04-11-2017,09:00,0.683784055,2.273546721,NA,NA
Leeds,2017,04-11-2017,09:00,0.554039118,NA,18.08680544,NA
Leeds,2017,04-11-2017,09:00,0.606854635,NA,NA,9.39436632
Leeds,2017,04-11-2017,10:00,0.532802065,1.235995658,NA,NA
Leeds,2017,04-11-2017,10:00,0.644910575,NA,30.95390599,NA
Leeds,2017,04-11-2017,10:00,0.666644007,NA,NA,26.00336764
Leeds,2017,04-11-2017,11:00,0.654248747,8.599087772,NA,NA
Leeds,2017,04-11-2017,11:00,0.56340416,NA,11.26094997,NA
Leeds,2017,04-11-2017,11:00,0.668630667,NA,NA,8.45350841
Leeds,2017,04-11-2017,12:00,0.703275744,5.022314161,NA,NA
Leeds,2017,04-11-2017,12:00,0.724598617,NA,16.99773475,NA
Leeds,2017,04-11-2017,12:00,0.660385716,NA,NA,15.73141462
Leeds,2017,04-11-2017,13:00,0.589422665,16.04300582,NA,NA
Leeds,2017,04-11-2017,13:00,0.672200498,NA,30.50507901,NA
Leeds,2017,04-11-2017,13:00,0.668023081,NA,NA,10.50243936
Leeds,2017,04-11-2017,14:00,0.613116838,11.01831207,NA,NA
Leeds,2017,04-11-2017,14:00,0.593302612,NA,0.588638298,NA
Leeds,2017,04-11-2017,14:00,0.578811205,NA,NA,18.74587136
Leeds,2017,04-11-2017,15:00,0.617315565,0.100497128,NA,NA
Leeds,2017,04-11-2017,15:00,0.667628656,NA,31.409787,NA
Leeds,2017,04-11-2017,15:00,0.613418376,NA,NA,11.54590068
Leeds,2017,04-11-2017,16:00,0.485549043,11.11939505,NA,NA
Leeds,2017,04-11-2017,16:00,0.698998522,NA,15.1506409,NA
Leeds,2017,04-11-2017,16:00,0.655389894,NA,NA,16.85982106
Leeds,2017,04-11-2017,17:00,0.543858271,12.06343494,NA,NA
Leeds,2017,04-11-2017,17:00,0.63329186,NA,16.09851831,NA
Leeds,2017,04-11-2017,17:00,0.675801476,NA,NA,15.42494373
Leeds,2017,04-11-2017,18:00,0.64098873,0,NA,NA
Leeds,2017,04-11-2017,18:00,0.641789667,NA,33.45994772,NA
Leeds,2017,04-11-2017,18:00,0.595154233,NA,NA,19.12474461
Leeds,2017,04-11-2017,19:00,0.518684103,6.257964081,NA,NA
Leeds,2017,04-11-2017,19:00,0.726873836,NA,0,NA
Leeds,2017,04-11-2017,19:00,0.591627718,NA,NA,0
Leeds,2017,04-11-2017,20:00,0.571268351,7.45434843,NA,NA
Leeds,2017,04-11-2017,20:00,0.589809181,NA,48.81929735,NA
Leeds,2017,04-11-2017,20:00,0.600659322,NA,NA,29.55384525
Leeds,2017,04-11-2017,21:00,0.655437328,1.264001009,NA,NA
Leeds,2017,04-11-2017,21:00,0.666802824,NA,18.41300824,NA
Leeds,2017,04-11-2017,21:00,0.636643461,NA,NA,8.753984249
Leeds,2017,04-11-2017,22:00,0.65525051,1.285854831,NA,NA
Leeds,2017,04-11-2017,22:00,0.548954509,NA,14.6657592,NA
Leeds,2017,04-11-2017,22:00,0.584364407,NA,NA,11.59107917
Leeds,2017,04-11-2017,23:00,0.605253381,9.159337698,NA,NA
Leeds,2017,04-11-2017,23:00,0.674212427,NA,30.17673789,NA
Leeds,2017,04-11-2017,23:00,0.520158108,NA,NA,15.27018905
Leeds,2017,05-11-2017,00:00,0.431333323,75.00304417,NA,NA
Leeds,2017,05-11-2017,00:00,0.476536982,NA,159.1979079,NA
Leeds,2017,05-11-2017,00:00,0.460750228,NA,NA,128.3473278
Leeds,2017,05-11-2017,01:00,0.497295293,42.11931888,NA,NA
Leeds,2017,05-11-2017,01:00,0.468113723,NA,104.4968697,NA
Leeds,2017,05-11-2017,01:00,0.503735576,NA,NA,78.76711633
Leeds,2017,05-11-2017,02:00,0.557595056,33.59567266,NA,NA
Leeds,2017,05-11-2017,02:00,0.452646773,NA,66.34116732,NA
Leeds,2017,05-11-2017,02:00,0.454254577,NA,NA,48.56418655
Leeds,2017,05-11-2017,03:00,0.474475677,32.79524808,NA,NA
Leeds,2017,05-11-2017,03:00,0.480300934,NA,56.81893335,NA
Leeds,2017,05-11-2017,03:00,0.592249856,NA,NA,52.7314092
Leeds,2017,05-11-2017,04:00,0.463819462,49.05944564,NA,NA
Leeds,2017,05-11-2017,04:00,0.505502356,NA,141.3766546,NA
Leeds,2017,05-11-2017,04:00,0.531328716,NA,NA,102.5939547
Leeds,2017,05-11-2017,05:00,0.451939033,51.87898173,NA,NA
Leeds,2017,05-11-2017,05:00,0.483192646,NA,105.4737353,NA
Leeds,2017,05-11-2017,05:00,0.510629006,NA,NA,89.96546229
Leeds,2017,05-11-2017,06:00,0.541427699,37.43723802,NA,NA
Leeds,2017,05-11-2017,06:00,0.578901023,NA,154.3575183,NA
Leeds,2017,05-11-2017,06:00,0.58241652,NA,NA,91.07768316
Leeds,2017,05-11-2017,07:00,0.464251649,74.91882316,NA,NA
Leeds,2017,05-11-2017,07:00,0.488844404,NA,166.8421216,NA
Leeds,2017,05-11-2017,07:00,0.48164891,NA,NA,117.814942
Leeds,2017,05-11-2017,08:00,0.465182148,51.33409513,NA,NA
Leeds,2017,05-11-2017,08:00,0.478531035,NA,138.2596814,NA
Leeds,2017,05-11-2017,08:00,0.506620389,NA,NA,96.54792285
Leeds,2017,05-11-2017,09:00,0.53472755,32.57423645,NA,NA
Leeds,2017,05-11-2017,09:00,0.476809887,NA,72.0586901,NA
Leeds,2017,05-11-2017,09:00,0.600697001,NA,NA,54.50443132
Leeds,2017,05-11-2017,10:00,0.461223665,66.86054637,NA,NA
Leeds,2017,05-11-2017,10:00,0.490205927,NA,184.4701897,NA
Leeds,2017,05-11-2017,10:00,0.485519828,NA,NA,144.3616997
Leeds,2017,05-11-2017,11:00,0.454539094,34.23104152,NA,NA
Leeds,2017,05-11-2017,11:00,0.40221824,NA,108.8268682,NA
Leeds,2017,05-11-2017,11:00,0.513431099,NA,NA,79.26549779
Leeds,2017,05-11-2017,12:00,0.509698092,21.40959362,NA,NA
Leeds,2017,05-11-2017,12:00,0.5364666,NA,66.12409024,NA
Leeds,2017,05-11-2017,12:00,0.428405365,NA,NA,54.92334635
Leeds,2017,05-11-2017,13:00,0.444066288,44.54737318,NA,NA
Leeds,2017,05-11-2017,13:00,0.552027035,NA,121.1932397,NA
Leeds,2017,05-11-2017,13:00,0.486671882,NA,NA,100.7765266
Leeds,2017,05-11-2017,14:00,0.530355618,91.94234423,NA,NA
Leeds,2017,05-11-2017,14:00,0.422901822,NA,196.9471557,NA
Leeds,2017,05-11-2017,14:00,0.528806129,NA,NA,141.5777355
Leeds,2017,05-11-2017,15:00,0.520745141,30.70579692,NA,NA
Leeds,2017,05-11-2017,15:00,0.603033367,NA,125.574698,NA
Leeds,2017,05-11-2017,15:00,0.549876224,NA,NA,87.31068326
Leeds,2017,05-11-2017,16:00,0.444010082,69.11756631,NA,NA
Leeds,2017,05-11-2017,16:00,0.470292769,NA,154.2353484,NA
Leeds,2017,05-11-2017,16:00,0.48058044,NA,NA,125.6418748
Leeds,2017,05-11-2017,17:00,0.496374572,82.03991889,NA,NA
Leeds,2017,05-11-2017,17:00,0.59097085,NA,156.0793675,NA
Leeds,2017,05-11-2017,17:00,0.447800709,NA,NA,126.1649281
Leeds,2017,05-11-2017,18:00,0.508210583,49.41517147,NA,NA
Leeds,2017,05-11-2017,18:00,0.501408223,NA,118.3584623,NA
Leeds,2017,05-11-2017,18:00,0.533127887,NA,NA,89.96351183
Leeds,2017,05-11-2017,19:00,0.480557127,30.59457777,NA,NA
Leeds,2017,05-11-2017,19:00,0.559579928,NA,104.3694967,NA
Leeds,2017,05-11-2017,19:00,0.4632821,NA,NA,64.29888829
Leeds,2017,05-11-2017,20:00,0.45729895,24.79803598,NA,NA
Leeds,2017,05-11-2017,20:00,0.495767677,NA,101.3111552,NA
Leeds,2017,05-11-2017,20:00,0.507201881,NA,NA,55.55467163
Leeds,2017,05-11-2017,21:00,0.44583466,38.01886944,NA,NA
Leeds,2017,05-11-2017,21:00,0.434688031,NA,64.00165403,NA
Leeds,2017,05-11-2017,21:00,0.556428556,NA,NA,63.39916143
Leeds,2017,05-11-2017,22:00,0.515532997,28.21762786,NA,NA
Leeds,2017,05-11-2017,22:00,0.454580357,NA,105.5753072,NA
Leeds,2017,05-11-2017,22:00,0.479702652,NA,NA,80.15418873
Leeds,2017,05-11-2017,23:00,0.542461299,77.35399546,NA,NA
Leeds,2017,05-11-2017,23:00,0.545394133,NA,174.3710071,NA
Leeds,2017,05-11-2017,23:00,0.519505042,NA,NA,132.269641
Leeds,2017,06-11-2017,00:00,0.346924207,1.055182906,NA,NA
